omop_concept_id,ingredient_name,cem_n_conditions,cem_n_faers_pairs,cem_n_semmeddb_pairs,cem_faers_case_count_sum,cem_faers_prr_median
19060894,Lactobacillus Sporogenes,40.0,40.0,0.0,52.0,10.37904
987153,Lactobacillus acidophilus,1050.0,1050.0,0.0,6917.0,1.565675
19056614,Lactobacillus bifidus,49.0,49.0,0.0,62.0,9.83585
19000382,Lactobacillus delbrueckii subsp. bulgaricus,35.0,35.0,0.0,37.0,18.44058
43525775,Lagerstroemia indica extract,1.0,0.0,1.0,0.0,
35603746,Lantana camara leaf extract,1.0,0.0,1.0,0.0,
19059518,Latrodectus mactans antivenin,7.0,7.0,0.0,8.0,31.12236
19112593,Levabuterol,50.0,50.0,0.0,56.0,6.6896
46275074,Lilium longiflorum bulb extract,1.0,0.0,1.0,0.0,
906902,Limosilactobacillus reuteri,102.0,102.0,0.0,161.0,4.94267
42899362,Lycopus virginicus extract,1.0,0.0,1.0,0.0,
590675,"MEASLES VIRUS VACCINE,LIVE ATTENUATED",1.0,1.0,0.0,1.0,143.4218
19135839,Magnesium salt,72.0,72.0,0.0,137.0,5.982855
42899333,Magnolia officinalis bark extract,4.0,0.0,4.0,0.0,
44785236,Mangifera indica seed extract,1.0,0.0,1.0,0.0,
19071803,Matricaria recutita extract,2.0,0.0,2.0,0.0,
594249,Measles Vaccine,3.0,3.0,0.0,3.0,18.61455
43525849,Melilotus extract,1.0,0.0,1.0,0.0,
42899425,Melissa officinalis extract,4.0,0.0,4.0,0.0,
42899427,Melissa officinalis leaf oil,9.0,9.0,0.0,9.0,9.35771
19010296,Meningitis vaccine,3.0,3.0,0.0,3.0,314.06822
19125388,Menotropins,263.0,263.0,0.0,871.0,5.38646
42899378,Mentha arvensis leaf oil,16.0,16.0,0.0,16.0,14.50717
19097029,Mixed vespid venom,1.0,1.0,0.0,1.0,169.15845
44507650,Monascus purpureus,18.0,18.0,0.0,19.0,23.892965
19100347,Monascus purpureus West,27.0,27.0,0.0,27.0,48.27096
1345632,Morinda citrifolia extract,7.0,0.0,7.0,0.0,
42899387,Morinda citrifolia fruit juice,1.0,1.0,0.0,1.0,4125.88357
42899656,Moringa oleifera leaf extract,3.0,0.0,3.0,0.0,
43525780,Morus alba extract,1.0,0.0,1.0,0.0,
42899669,Morus alba leaf extract,1.0,0.0,1.0,0.0,
42899670,Morus alba root bark extract,1.0,0.0,1.0,0.0,
42899674,Morus nigra fruit extract,1.0,0.0,1.0,0.0,
19135832,Multivitamin preparation,3262.0,3262.0,0.0,291913.0,1.090545
523620,Mumps Vaccine,4.0,4.0,0.0,4.0,5169.029490000001
42899695,Myrtus communis leaf extract,1.0,0.0,1.0,0.0,
42903541,"N,N-dimethylglycine",13.0,13.0,0.0,13.0,31.13426
36249811,N-acetylcarnosine,3.0,0.0,3.0,0.0,
43532052,"N-cyclohexyl-N'-phenyl-1,4-phenylenediamine",1.0,0.0,1.0,0.0,
43013739,N-hydroxysuccinimide,1.0,0.0,1.0,0.0,
37498156,N-monoacetylcystine,1.0,0.0,1.0,0.0,
19126937,NADH,45.0,4.0,41.0,4.0,5023.21111
528301,Neisseria meningitidis serogroup Y capsular polysaccharide diphtheria toxoid protein conjugate vaccine,79.0,79.0,0.0,105.0,4.23288
40173209,Neisseria meningitidis serogroup Y oligosaccharide diphtheria CRM197 protein conjugate vaccine,9.0,9.0,0.0,23.0,13.37739
42899663,Nelumbo nucifera leaf extract,1.0,0.0,1.0,0.0,
42899681,Nerium oleander leaf extract,2.0,2.0,0.0,2.0,244.61178
19127678,Nilotinib Hydrochloride,7.0,7.0,0.0,7.0,116.3817
19082732,Nonoxynol,1.0,1.0,0.0,1.0,
19011130,Normal saline,735.0,735.0,0.0,3791.0,1.76755
42899614,Notopterygium incisum root extract,2.0,0.0,2.0,0.0,
35605949,Ocimum tenuiflorum whole extract,1.0,0.0,1.0,0.0,
42899542,Olea europaea leaf extract,6.0,3.0,3.0,3.0,431.28701
