ingredient_concept_id,ingredient_name
42898521,butane
19056408,butcher's broom preparation
958396,butenafine
19024761,butethamate citrate
19039770,buthiazide
19039767,butobarbital
939784,butoconazole
1133732,butorphanol
43012243,butylated hydroxyanisole
19033780,butylated hydroxytoluene
40234201,butylscopolamine
19122139,butyrate
45892906,C1 esterase inhibitor
40222431,cabazitaxel
1558471,cabergoline
43012292,cabozantinib
1740226,cadexomer iodine
19058510,cafedrine
42900350,caffeic acid
1134439,caffeine
42900351,cajuput oil
902616,calamine
43533116,calamus oil
19035569,calcifediol
908921,calcipotriene
42900359,calcitonin
19035631,calcitriol
19018544,calcium
951469,calcium acetate
19058549,calcium alginate
1319219,calcium ascorbate
19071869,calcium aspartate
43526455,calcium bicarbonate
19018639,calcium bromide
19018547,calcium carbimide
19035704,calcium carbonate
19097016,"calcium carbonate, precipitated"
19036781,calcium chloride
19058572,calcium citrate
19127547,calcium citrate malate
19018601,calcium fluoride
19097867,calcium glubionate
19058867,calcium gluceptate
19037038,calcium gluconate
1337159,calcium glycerophosphate
43533002,calcium hydride
1337191,calcium hydroxide
42903945,calcium ion
19058896,calcium lactate
19090802,calcium lactobionate
19058971,calcium levulinate
19090806,calcium orotate
44784716,calcium oxalate
19007595,calcium oxide
43532262,calcium peroxide
19037401,calcium phosphate
19058973,calcium phosphate dibasic
940426,calcium polycarbophil
40168899,calcium pyruvate
19056480,calcium saccharate
42900373,calcium silicate
19112567,calcium stearate
19037446,calcium sulfate
19071836,Calendula officinalis extract
43532989,calenduloside E
19089891,calfactant
42899416,calomel
42898562,Camellia oil
19024938,campesterol
938205,camphor
46221355,"camphor, (-)-"
43526465,canagliflozin
40161669,canakinumab
42898732,candelilla wax
1351557,candesartan
538530,Candida albicans
702219,cannabichromene
37003277,cannabigerol
19018910,cannabinol
42898564,Cannabis sativa seed oil
19123864,canrenoate
19132906,canrenoic acid
19019698,canrenone
40170470,cantaloupe allergenic extract
19039679,cantharidin
1337620,capecitabine
19026710,capreomycin
963780,caprolactone
792748,capromorelin
939881,capsaicin
915553,Capsicum extract
19055492,Capsicum oleoresin
43013539,captan
1340128,captopril
19025945,carazolol
940183,carbachol
740275,carbamazepine
958999,carbamide peroxide
45775534,carbamoylcholine
19136040,carbaryl
19024535,carbazochrome
1740546,carbenicillin
19040563,carbenoxolone
1140640,carbetapentane
740560,carbidopa
19040606,carbimazole
1141018,carbinoxamine
19070899,CARBO VEGETABILIS
19041843,carbocysteine
19055217,carbomer
42898720,carbomer 1342
42904292,carbon black
19046180,carbon dioxide
19047756,carbon monoxide
1344905,carboplatin
19049150,carboprost
949279,carboxymethylcellulose
19033243,carbromal
19033498,carbutamide
42903888,cardamom extract
42873638,carfilzomib
19102150,carglumic acid
749910,carisoprodol
43012407,carmoisine
1350066,carmustine
19050104,carnitine
43012198,carnosine
19026925,carpipramine
19046454,carprofen
43533045,carrot extract
43012575,carrot juice
42898574,carrot seed oil
950370,carteolol
1346823,carvedilol
43014045,caryophyllene
900093,casanthranol
900017,cascara sagrada
1718054,caspofungin
42898751,Castanea sative leaf extract
950933,castor oil
40161124,cat dander allergenic extract
19006991,cat's claw preparation
43012577,catechin
19015812,cathine
46275666,Caulerpa lentillifera extract
1398579,cayenne extract
42898763,cedar leaf oil
35602727,cedrol
1768849,cefaclor
36945987,Cefaclor monohydrate
1769535,cefadroxil
19070174,cefamandole
19070680,cefatrizine
1771162,cefazolin
1796458,cefdinir
1747005,cefditoren
1748975,cefepime
1796435,cefixime
19072255,cefmetazole
19028286,cefodizime
19072857,cefonicid
1773402,cefoperazone
1774470,cefotaxime
1774932,cefotetan
19051271,cefotiam
1775741,cefoxitin
19001904,cefpirome
1749008,cefpodoxime
1738366,cefprozil
40230597,ceftaroline
1776684,ceftazidime
1749083,ceftibuten
1777254,ceftizoxime
1777806,ceftriaxone
1778162,cefuroxime
1118084,celecoxib
42898712,celery seed extract
19049145,celiprolol
986515,cellulase
986517,cellulose
19086554,"Cellulose, Oxidized"
42898716,Centella asiatica extract
1786621,cephalexin
19052683,cephaloridine
19086759,cephalothin
19086790,cephapirin
1786842,cephradine
43531797,ceramide 2
35602808,ceric oxide
44818466,ceritinib
864529,Cerium nitrate
912263,certolizumab pegol
19016072,certoparin
42898577,Cervus elaphus horn oil
19049175,cesium chloride
42903430,cetearyl isononanoate
19031267,cetiedil
1149196,cetirizine
42900366,cetostearyl alcohol
19007748,cetrimide
1503983,cetrorelix
1315411,cetuximab
42903826,cetyl myristoleate
989301,cetylpyridinium
954819,cevimeline
1759139,chalcone
42898757,chamomile flower oil
19052620,chamomile flowers
1789521,charcoal
19052447,chenodeoxycholate
42904058,Chenopodium ambrosioides extract
40175609,chia seed oil
964280,chicory leaf extract
1380341,chitosan
42898602,chitosan oligosaccharide
1150886,chlophedianol
19127637,Chlopheniramine
19135825,chloral betaine
1390051,chlorambucil
990069,chloramphenicol
990413,chlorcyclizine
990678,chlordiazepoxide
1790812,chlorhexidine
19013759,chloride hexahydrate
19018192,chloride ion
42898711,chlorine
19026733,chlormadinone
19092283,chlormethiazole
19092290,chlormezanone
19092412,chlorobutanol
19037891,chlorocresol
43012199,chloroform
42898681,chlorogenic acid
992456,chlorophyll
19049402,chlorophyllin
942494,chlorophyllin copper complex
19049410,chloroprocaine
19049437,chloropyramine
1792515,chloroquine
992590,chlorothiazide
19092684,chlorotrianisene
949453,chloroxine
949459,chloroxylenol
43012229,chlorozotocin
19092712,chlorphenesin
1192710,chlorpheniramine
19049707,chlorphenoxamine
19122262,chlorproethazine
794852,chlorpromazine
1594973,chlorpropamide
19095002,chlorprothixene
19095028,chlorquinaldol
19095043,chlortetracycline
1395058,chlorthalidone
795113,chlorzoxazone
35201660,chocolate cacao bean allergenic extract
43532263,cholate
19095164,cholecalciferol
19058355,cholecystokinin
595252,Cholera Vaccine
19059097,cholesterol
19095309,cholestyramine resin
44506782,cholic acid
1195334,choline
43560137,choline fenofibrate
864729,Chondroitin
42903714,chondroitin 4-sulfate
37498240,chondroitin 6-sulfate
43525774,chondroitin sulfate (chicken)
1395573,chondroitin sulfates
43531805,Chondrus preparation
1563600,chorionic gonadotropin
19049877,chromic chloride
19061821,chromium
19103213,chromium citrate
19080550,chromium picolinate
19125750,chromium polynicotinate
19096766,"chromium, chelated"
19059658,chromocarb diethylamine
19063698,chromonar
1718741,chrysarobin
43012231,chrysin
19096683,chymopapain
19096710,chymotrypsin
902938,ciclesonide
19051444,cicletanine
950098,ciclopirox
19050211,cicloxilic acid
19004578,cider vinegar
1745072,cidofovir
19045581,cifenline
1797258,cilastatin
19050216,cilazapril
1350310,cilostazol
997276,cimetidine
1548111,cinacalcet
42898863,Cinchona bark extract
19045983,cinitapride
1150362,cinnamedrine
1359143,cinnamon bark
42898867,cinnamon oil
42900310,"cinnamon oil, bark"
42900311,"cinnamon oil, leaf"
19097481,cinnarizine
997496,cinoxacin
19050375,ciprofibrate
1797513,ciprofloxacin
932196,cisapride
19015726,cisatracurium
1397599,cisplatin
797617,citalopram
40223464,citicoline
19050441,citiolone
43012233,citral
19011034,citrate
950435,citric acid
43532274,citronellal
19097664,citrulline
19013754,citrus bioflavonoids
19121636,citrus pectin
19054825,cladribine
40170543,clam allergenic extract
1750500,clarithromycin
42898461,clary sage oil
1759842,clavulanate
19050761,clebopride
1197677,clemastine
19097824,clenbuterol
42898943,Clerodendranthus spicatus leaf extract
19089969,clevidipine
950792,clidinium
997881,clindamycin
1301299,clinoptilolite
980867,clioquinol
19050832,clobazam
998415,clobetasol
19005129,clobetasone
19050863,clobutinol
950882,clocortolone
19024249,clodronic acid
19054821,clofarabine
1798476,clofazimine
19018512,clofezone
1598658,clofibrate
19047240,clofoctol
1598819,clomiphene
798834,clomipramine
798874,clonazepam
1398937,clonidine
19099129,clonixin
19099181,clopamide
1322184,clopidogrel
43012635,clopidol
19050907,cloprednol
790253,clorazepate
40163587,clorsulon
19100363,clothiapine
19068821,clotiazepam
1000632,clotrimazole
42898462,clove leaf oil
19023184,clove oil
43013071,clove preparation
1800835,cloxacillin
19051096,cloxazolam
800878,clozapine
44818493,coagulation factor IX recombinant immunoglobulin G1 fusion protein
1000995,coal tar
42898944,cobalt
19055712,cobalt gluconate
45775557,cobaltous cation
19048026,cobamamide
42874220,cobicistat
1001419,cocaine
43531800,cochineal
865239,Cochineal
951112,cocoa butter
43525921,cocoa extract
43525844,coconut extract
42898952,coconut oil
36249186,coconut water
19101604,cod liver oil
1201620,codeine
42903827,coenzyme A
42898902,Coix lacryma-jobi seed extract
43012639,Coix lacryma-jobi seed oil
19070922,cola extract
42898905,cola nut extract
1360932,colchiceine
1101554,colchicine
19135840,Cold cream
1518148,colesevelam
21309252,Colestilan
1501617,colestipol
901845,colistin
19069049,collagen
19096783,collagen hemostat
19112632,"collagen, hydrolyzed"
980311,collagenase
40172153,collagenase Clostridium histolyticum
865431,Collodion
986261,colloidal oatmeal
19056300,compound benzoin tincture (USP)
1465729,concizumab
45775558,condoliase
42900231,coniferyl alcohol
19071780,Conium maculatum preparation
19010927,conivaptan
42904067,Convallaria majalis extract
19071128,copper
19012224,copper chloride
19004810,copper gluconate
19057346,copper sulfate
19122997,Coral Calcium
42903903,Corallina officinalis extract
19070923,Cordyceps sinensis preparation
42898949,coriander oil
21271882,Corifollitropin alfa
43527194,corn grain extract
40230159,corn starch
1541079,corticotropin
1507705,cortisone
19061907,cortivazol
19008009,cosyntropin
19008106,coumarin
42904275,cranberry juice
1315027,cranberry preparation
19050237,crataegus extract
19071967,creatine
19071968,creatinine
19008366,creosote
19087223,cresol
1465100,crinecerfont
40242675,crizotinib
37497669,crocin
43013047,crofelemer
19008867,cromoglycate
1152631,cromolyn
42898837,crospovidone
35201207,Crotalidae immune F(ab')2
19071744,Crotalidae Polyvalent immune Fab
969276,crotamiton
1734840,cucurbitacin B
1361068,cuminaldehyde
43532258,cupric cation
19073031,cupric chloride
43527178,cuprous chloride
19051035,cuprous oxide
19072030,curcumin
42903538,curdlan
19051234,cyamemazine
19135931,cyanocobalamin Co57
1309323,cyclandelate
909358,cyclizine
37002995,cycloastragenol
778711,cyclobenzaprine
43531835,cyclodextrins
19072083,cyclofenil
42900259,cyclomethicone
19080427,cyclopentamine
1537113,cyclopentanone
19010015,cyclopenthiazide
910232,cyclopentolate
1310317,cyclophosphamide
1710446,cycloserine
19010482,cyclosporine
19082886,cyclothiazide
19091110,Cynara preparation
42903976,Cynara scolymus leaf extract
1110727,cyproheptadine
19010792,cyproterone
43531836,cystamine
910888,cysteamine
19010955,cysteine
19011082,cystine
1311078,cytarabine
586491,cytomegalovirus immune globulin
43525871,cytosine
19080431,D-glucuronic acid
45775372,dabigatran
40228152,dabigatran etexilate
43532299,dabrafenib
1311409,dacarbazine
46221696,daclatasvir
19036892,daclizumab
1311443,dactinomycin
45774861,dalbavancin
40170680,dalfampridine
1789517,dalfopristin
43560324,dalotuzumab
1301065,dalteparin
35200416,damoctocog alfa pegol
19026343,danaparoid
1511449,danazol
42904231,danofloxacin
711714,dantrolene
44785829,dapagliflozin
19086622,dapiprazole
21253242,Dapoxetine
1301608,daprodustat
1711759,dapsone
1786617,daptomycin
1304643,darbepoetin alfa
916230,darifenacin
1756831,darunavir
1718616,darutoside
45892558,dasabuvir
1358436,dasatinib
36026813,dasiglucagon
1311799,daunorubicin
1592686,deacetylbisacodyl
1311826,deanol
19011951,debrisoquin
43532313,decan-4-olide
19086827,decanoic acid
19024728,decitabine
42900281,decyl glucoside
37353190,defactinib
1786055,deferasirox
19011091,deferiprone
1711947,deferoxamine
42898933,defibrotide
19086888,deflazacort
19058410,degarelix
43014051,dehydroacetate
19052817,dehydrocholate
19011985,dehydroemetine
19052686,dehydrosanol
1747157,delavirdine
37353882,delgocitinib
19004718,demecarium
1714527,demeclocycline
42903569,denatonium benzoate
19049759,denatured ethanol
19051642,denileukin diftitox
40222444,denosumab
19052896,deoxycholate
746087,deoxycytidine
19016063,dequalinium
19036391,deracoxib
1387219,deserpidine
19002770,desflurane
716968,desipramine
19011712,desirudin
19017074,deslanoside
1103006,desloratadine
42900318,deslorelin
1517070,desmopressin
1588000,desogestrel
917205,desonide
917336,desoximetasone
19017895,desoxycorticosterone
717607,desvenlafaxine
